Location,Drug Possesions
Homewood South,178
Golden Triangle/Civic Arena,154
East Hills,124
Middle Hill,116
Bloomfield,111
Homewood North,99
Knoxville,90
South Side Flats,89
Central Lawrenceville,76
Larimer,73
Carrick,64
North Oakland,62
Lincoln-Lemington-Belmar,61
Outside City,58
Homewood West,57
Highland Park,54
Allentown,53
Brighton Heights,51
Central Oakland,50
Northview Heights,45
Central Northside,42
Shadyside,38
Point Breeze,32
Allegheny Center,31
Friendship,31
St. Clair,31
Squirrel Hill North,27
Allegheny West,26
Bedford Dwellings,25
Arlington,25
Lower Lawrenceville,25
Hazelwood,24
North Shore,23
Point Breeze North,23
Perry North,22
Squirrel Hill South,18
Fairywood,16
Ridgemont,15
Lincoln Place,15
West Oakland,13
Westwood,13
Stanton Heights,12
Regent Square,11
Upper Hill,9
Crawford-Roberts,9
Marshall-Shadeland,8
Arlington Heights,7
New Homestead,6
Summer Hill,6
Bon Air,6
Oakwood,6
Hays,6
Glen Hazel,4
Polish Hill,4
Mt. Oliver Neighborhood,4
East Carnegie,3
Windgap,3
Mount Washington,3
Swisshelm Park,3
Outside State,1
