Location,People who earned above $200K/month,Number of Arrests,Number of Drug Possesions,Drug Points
central northside,64.0,23,42,2949.174
squirrel hill north,935.0,252,27,1210.108
regent square,53.0,32,11,886.262
st. clair,0.0,45,31,805.656
point breeze,482.0,283,32,630.208
ridgemont,0.0,32,15,548.203
squirrel hill south,821.0,727,18,359.135
allegheny west,21.0,115,26,317.799
highland park,326.0,502,54,315.672
central lawrenceville,46.0,398,76,257.114
north oakland,94.0,390,62,256.39
shadyside,559.0,855,38,243.133
friendship,0.0,151,31,240.096
swisshelm park,14.0,38,3,200.046
fairywood,8.0,108,16,194.917
new homestead,0.0,38,6,184.658
bloomfield,108.0,880,111,183.399
stanton heights,68.0,199,12,170.43
middle hill,0.0,844,116,160.737
summer hill,10.0,63,6,157.79
lower lawrenceville,21.0,232,25,152.489
east hills,8.0,1026,124,143.623
oakwood,12.0,78,6,134.942
point breeze north,18.0,249,23,129.162
central oakland,0.0,469,50,124.68
arlington,2.0,263,25,113.393
larimer,4.0,770,73,112.394
homewood south,0.0,1863,178,111.74
homewood west,0.0,699,57,95.367
lincoln place,0.0,190,15,92.329
westwood,10.0,203,13,89.297
knoxville,0.0,1180,90,89.199
northview heights,0.0,626,45,84.069
polish hill,21.0,144,4,75.124
east carnegie,0.0,47,3,74.649
perry north,53.0,554,22,74.413
allentown,3.0,855,53,73.521
hays,0.0,98,6,71.602
brighton heights,22.0,978,51,67.563
lincoln-lemington-belmar,21.0,1148,61,67.491
homewood north,3.0,1742,99,66.968
arlington heights,0.0,130,7,62.973
west oakland,0.0,274,13,55.487
bedford dwellings,0.0,582,25,50.236
south side flats,151.0,3053,89,48.554
upper hill,14.0,325,9,44.981
carrick,31.0,2102,64,39.92
allegheny center,21.0,1122,31,37.785
north shore,0.0,722,23,37.256
windgap,0.0,103,3,34.063
hazelwood,45.0,1225,24,33.653
glen hazel,0.0,143,4,32.713
bon air,0.0,230,6,30.509
mount washington,117.0,1280,3,29.466
crawford-roberts,17.0,734,9,21.112
marshall-shadeland,0.0,1332,8,7.024
